SITE_ID,Week,Year,DATEOFF,Ca,Cl,HNO3,HNO3 PPB,K,Mg,Na,NH4,NO3,SO2,SO2 PPB,SO4,TNO3,DATEON
BFT142,24,2024,6/18/24 8:00,0.167,1.048,0.486,0.189,0.08,0.133,0.966,0.341,1.056,0.732,0.279,1.121,1.535,6/11/24
BFT142,25,2020,6/23/20 8:00,0.076,0.94,0.164,0.064,0.077,0.099,0.808,0.263,0.532,0.328,0.125,0.968,0.693,6/16/20
BFT142,25,2021,6/22/21 8:00,0.184,1.61,0.366,0.142,0.122,0.167,1.218,0.277,0.783,0.153,0.058,1.274,1.143,6/15/21
BFT142,25,2022,6/28/22 8:00,0.12,0.544,0.351,0.136,0.055,0.09,0.72,0.139,0.624,0.673,0.257,0.886,0.969,6/21/22
BFT142,25,2023,6/27/23 8:00,0.122,2.38,0.191,0.074,0.136,0.218,1.707,0.27,0.861,0.386,0.147,1.481,1.049,6/20/23
BFT142,25,2024,6/25/24 8:00,0.178,3.274,0.116,0.045,0.111,0.264,2.128,0.136,0.703,0.325,0.124,1.251,0.817,6/18/24
BFT142,26,2020,6/30/20 8:00,0.399,0.311,0.359,0.139,0.151,0.133,0.544,0.21,0.815,0.395,0.151,1.216,1.169,6/23/20
BFT142,26,2021,6/29/21 8:00,0.145,2.639,0.147,0.057,0.101,0.213,1.684,0.138,0.671,0.181,0.069,1.206,0.816,6/22/21
BFT142,26,2022,7/5/22 8:00,0.091,1.096,0.241,0.094,0.073,0.113,0.901,0.238,0.717,0.46,0.176,0.987,0.955,6/28/22
BFT142,26,2023,7/4/23 8:00,0.091,0.218,0.523,0.203,0.148,0.101,0.801,0.29,0.582,0.534,0.204,1.505,1.096,6/27/23
BFT142,26,2024,7/2/24 8:00,0.091,1.193,0.199,0.077,0.076,0.138,1.099,0.204,0.827,0.324,0.124,1.082,1.023,6/25/24
BFT142,27,2020,7/7/20 8:00,0.111,0.174,0.638,0.248,0.084,0.059,0.358,0.324,0.345,0.425,0.162,1.099,0.973,6/30/20
BFT142,27,2021,7/6/21 8:00,0.085,1.039,0.208,0.081,0.121,0.101,0.764,0.234,0.41,0.194,0.074,0.948,0.614,6/29/21
BFT142,27,2022,7/12/22 8:00,0.07,0.822,0.212,0.082,0.079,0.108,0.877,0.179,0.638,0.365,0.139,1.124,0.847,7/5/22
BFT142,27,2023,7/11/23 8:00,0.061,0.313,0.322,0.125,0.107,0.069,0.53,0.322,0.491,0.484,0.185,1.217,0.808,7/4/23
BFT142,27,2024,7/9/24 8:00,0.087,1.625,0.142,0.055,0.086,0.162,1.273,0.254,0.877,0.365,0.139,1.042,1.017,7/2/24
BFT142,28,2020,7/14/20 8:00,0.086,1.131,0.218,0.085,0.088,0.113,0.874,0.295,0.56,0.381,0.145,1.001,0.775,7/7/20
BFT142,28,2021,7/13/21 8:00,0.159,2.263,0.172,0.067,0.107,0.206,1.583,0.235,0.778,0.26,0.099,1.315,0.947,7/6/21
BFT142,28,2022,7/19/22 8:00,0.111,1.397,0.163,0.063,0.087,0.133,1.063,0.189,0.614,0.317,0.121,1.076,0.774,7/12/22
BFT142,28,2023,7/18/23 8:00,0.097,0.649,0.392,0.152,0.091,0.112,0.82,0.208,0.606,0.493,0.188,1.309,0.992,7/11/23
BFT142,28,2024,7/16/24 8:00,0.144,2.32,0.148,0.057,0.111,0.206,1.568,0.355,0.777,-,-,1.37,0.923,7/9/24
BFT142,29,2020,7/21/20 8:00,0.134,0.575,0.311,0.121,0.065,0.093,0.682,0.343,0.822,0.528,0.202,1.338,1.128,7/14/20
BFT142,29,2021,7/20/21 8:00,0.169,1.482,0.136,0.053,0.091,0.151,1.093,0.195,0.765,0.175,0.067,1.192,0.899,7/13/21
